id,nameChinese,nameEnglish,nameGerman,meridian,element,location,depth,frequency,harmonicFrequencies,pointTypes,functions,indications,precautions,chakraCorrespondence
HT9,Shaochong,Lesser Rushing,Kleines Drängen,HT,fire,"Am kleinen Finger, 0.1 cun proximal des radialen Nagelwinkels",0.1 cun oder Blutenlassen,409.7,819.4; 1229.1; 1638.8; 2048.5,jing_well,Belebt Bewusstsein; Klärt Hitze; Öffnet Sinne,Bewusstlosigkeit; Fieber; Herzschmerzen; Zungengeschwür,,
SI1,Shaoze,Lesser Marsh,Kleiner Sumpf,SI,fire,"Am kleinen Finger, 0.1 cun proximal des ulnaren Nagelwinkels",0.1 cun oder Blutenlassen,343.5,687; 1030.5; 1374; 1717.5,jing_well,Klärt Hitze; Fördert Laktation; Belebt Bewusstsein,Kopfschmerzen; Fieber; Laktationsprobleme; Konjunktivitis,,
SI2,Qiangu,Front Valley,Vorderes Tal,SI,fire,"Ulnar am kleinen Finger, distal des 5. MCP-Gelenks",0.3-0.5 cun,350.4,700.8; 1051.2; 1401.6; 1752,ying_spring,Klärt Hitze; Fördert Laktation,Fieber; Tinnitus; Kopfschmerzen,,
SI3,Houxi,Back Stream,Hinterer Bach,SI,fire,"Ulnar an der Hand, proximal des 5. MCP-Gelenks, bei geballter Faust",0.5-1 cun,357.3,714.6; 1071.9; 1429.2; 1786.5,shu_stream; confluent,Öffnet Du Mai; Zerstreut Wind; Lindert Nacken und Rücken,Nackensteifigkeit; Kopfschmerzen; Rückenschmerzen; Epilepsie,,vishuddha
SI4,Wangu,Wrist Bone,Handgelenkknochen,SI,fire,"Ulnar am Handgelenk, in der Vertiefung zwischen Os triquetrum und Os pisiforme",0.3-0.5 cun,364.2,728.4; 1092.6; 1456.8; 1821,yuan_source,Klärt Hitze; Aktiviert Kanal,Handgelenkschmerzen; Fieber; Gelbsucht,,
SI5,Yanggu,Yang Valley,Yang-Tal,SI,fire,"Ulnar am Handgelenk, in der Vertiefung zwischen Ulna und Os triquetrum",0.3-0.5 cun,371.1,742.2; 1113.3; 1484.4; 1855.5,jing_river,Klärt Hitze; Lindert Schwellung,Handgelenkschmerzen; Tinnitus; Fieber,,
SI6,Yanglao,Nursing the Aged,Pflege des Alten,SI,fire,"1 cun proximal von SI5, in der Vertiefung radial des Ulnaköpfchens",0.3-0.5 cun,378,756; 1134; 1512; 1890,xi_cleft,Erhellt Augen; Aktiviert Kanal,Sehstörungen; Schulter- und Armschmerzen; Steifer Nacken,,
SI7,Zhizheng,Branch to the Correct,Zweig zum Richtigen,SI,fire,"5 cun proximal von SI5, auf der Verbindung SI5-SI8",0.5-1 cun,384.9,769.8; 1154.7; 1539.6; 1924.5,luo_connecting,Beruhigt Geist; Klärt Hitze,Kopfschmerzen; Nackensteifigkeit; Angst; Manie,,
SI8,Xiaohai,Small Sea,Kleines Meer,SI,fire,"Bei gebeugtem Ellenbogen, in der Vertiefung zwischen Olekranon und medialem Epikondylus",0.5-1 cun,391.8,783.6; 1175.4; 1567.2; 1959,he_sea,Klärt Hitze; Beruhigt Geist; Aktiviert Kanal,Ellenbogenschmerzen; Taubheit des Arms; Epilepsie,,
SI9,Jianzhen,True Shoulder,Wahre Schulter,SI,fire,"1 cun über dem hinteren Achselfaltenende, bei adduziertem Arm",1-1.5 cun,398.7,797.4; 1196.1; 1594.8; 1993.5,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Armlähmung; Tinnitus,,
SI10,Naoshu,Upper Arm Shu,Oberarm-Transportpunkt,SI,fire,"Direkt über SI9, in der Vertiefung unter der Spina scapulae",0.5-1 cun,405.6,811.2; 1216.8; 1622.4; 2028,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Schultersteifigkeit,,
SI11,Tianzong,Celestial Gathering,Himmlische Versammlung,SI,fire,"In der Mitte der Fossa infraspinata, auf der Verbindung SI10-SI13",0.5-1 cun,412.5,825; 1237.5; 1650; 2062.5,regular,Aktiviert Kanal; Lindert Schmerzen; Fördert Laktation,Schulterschmerzen; Armschmerzen; Mastitis,,
SI12,Bingfeng,Grasping the Wind,Wind Ergreifen,SI,fire,"In der Mitte der Fossa supraspinata, über SI11",0.5-1 cun,419.4,838.8; 1258.2; 1677.6; 2097,regular,Zerstreut Wind; Aktiviert Kanal,Schulterschmerzen; Taubheit der Schulter,,
SI13,Quyuan,Crooked Wall,Gekrümmte Mauer,SI,fire,Am medialen Ende der Fossa supraspinata,0.5-1 cun,426.3,852.6; 1278.9; 1705.2; 2131.5,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Schulterblattschmerzen,,
SI14,Jianwaishu,Outer Shoulder Shu,Äußerer Schulter-Transportpunkt,SI,fire,3 cun lateral des Dornfortsatzes T1,0.5-1 cun,433.2,866.4; 1299.6; 1732.8; 2166,regular,Aktiviert Kanal; Lindert Schmerzen,Schulter- und Rückenschmerzen; Nackensteifigkeit,,
SI15,Jianzhongshu,Middle Shoulder Shu,Mittlerer Schulter-Transportpunkt,SI,fire,2 cun lateral des Dornfortsatzes C7,0.5-1 cun,440.1,880.2; 1320.3; 1760.4; 2200.5,regular,Zerstreut Wind; Klärt Hitze,Husten; Asthma; Schulterschmerzen,,
SI16,Tianchuang,Celestial Window,Himmlisches Fenster,SI,fire,"Am Hinterrand des M. SCM, auf Höhe des Adamsapfels",0.5-1 cun,447,894; 1341; 1788; 2235,regular,Fördert Hören; Klärt Hitze,Tinnitus; Schwerhörigkeit; Halsschmerzen,Vorsicht - Gefäße,vishuddha
SI17,Tianrong,Celestial Countenance,Himmlisches Antlitz,SI,fire,"Hinter dem Unterkieferwinkel, am Vorderrand des M. SCM",0.5-1 cun,453.9,907.8; 1361.7; 1815.6; 2269.5,regular,Klärt Hitze; Lindert Schwellung,Halsschmerzen; Mandelentzündung; Tinnitus,Vorsicht - Gefäße,
SI18,Quanliao,Cheekbone Hole,Jochbeinvertiefung,SI,fire,"Direkt unter dem Jochbein, unter dem äußeren Augenwinkel",0.3-0.5 cun,460.8,921.6; 1382.4; 1843.2; 2304,regular,Zerstreut Wind; Lindert Schwellung,Gesichtslähmung; Trigeminusneuralgie; Zahnschmerzen,,
SI19,Tinggong,Auditory Palace,Hörpalast,SI,fire,"Vor dem Tragus, bei geöffnetem Mund in der Vertiefung",0.5-1 cun,467.7,935.4; 1403.1; 1870.8; 2338.5,regular,Öffnet Ohren; Beruhigt Geist,Tinnitus; Schwerhörigkeit; Ohrenschmerzen; Kiefergelenksprobleme,,ajna
BL1,Jingming,Bright Eyes,Helle Augen,BL,water,0.1 cun über dem inneren Augenwinkel,0.3-0.5 cun entlang der Orbita,192,384; 576; 768; 960,regular,Erhellt Augen; Zerstreut Wind,Augenerkrankungen; Konjunktivitis; Nachtblindheit; Tränenfluss,Nicht manipulieren - Blutungsgefahr,ajna
BL2,Zanzhu,Bamboo Gathering,Bambusansammlung,BL,water,"Am medialen Augenbrauenende, über BL1",0.3-0.5 cun schräg,194.5,389; 583.5; 778; 972.5,regular,Zerstreut Wind; Erhellt Augen; Lindert Schmerzen,Kopfschmerzen; Augenschmerzen; Tränende Augen; Schluckauf,,
BL3,Meichong,Eyebrow Ascension,Augenbrauenaufstieg,BL,water,"0.5 cun hinter dem vorderen Haaransatz, oberhalb von BL2",0.3-0.5 cun schräg,197,394; 591; 788; 985,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Schwindel; Epilepsie,,
BL4,Quchai,Deviating Turn,Abweichende Kurve,BL,water,"0.5 cun hinter dem Haaransatz, 1.5 cun lateral der Mittellinie",0.3-0.5 cun schräg,199.5,399; 598.5; 798; 997.5,regular,Zerstreut Wind; Erhellt Augen,Kopfschmerzen; Verschwommenes Sehen; Nasenbluten,,
BL5,Wuchu,Fifth Place,Fünfter Platz,BL,water,"1 cun hinter dem Haaransatz, 1.5 cun lateral der Mittellinie",0.3-0.5 cun schräg,202,404; 606; 808; 1010,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Epilepsie; Schwindel,,
BL6,Chengguang,Light Guard,Lichtwächter,BL,water,"2.5 cun hinter dem Haaransatz, 1.5 cun lateral der Mittellinie",0.3-0.5 cun schräg,204.5,409; 613.5; 818; 1022.5,regular,Zerstreut Wind; Erhellt Augen,Kopfschmerzen; Verschwommenes Sehen; Nasenprobleme,,
BL7,Tongtian,Celestial Connection,Himmlische Verbindung,BL,water,"4 cun hinter dem Haaransatz, 1.5 cun lateral der Mittellinie",0.3-0.5 cun schräg,207,414; 621; 828; 1035,regular,Zerstreut Wind; Öffnet Nase,Kopfschmerzen; Rhinitis; Nasenbluten,,
BL8,Luoque,Declining Connection,Abnehmende Verbindung,BL,water,"5.5 cun hinter dem Haaransatz, 1.5 cun lateral der Mittellinie",0.3-0.5 cun schräg,209.5,419; 628.5; 838; 1047.5,regular,Beruhigt Geist; Erhellt Augen,Kopfschmerzen; Sehstörungen; Tinnitus,,
BL9,Yuzhen,Jade Pillow,Jadekissen,BL,water,"2.5 cun über dem hinteren Haaransatz, 1.3 cun lateral der Mittellinie",0.3-0.5 cun schräg,212,424; 636; 848; 1060,regular,Erhellt Augen; Zerstreut Wind,Kopfschmerzen; Sehstörungen; Nasenprobleme,,
BL10,Tianzhu,Celestial Pillar,Himmlische Säule,BL,water,"1.3 cun lateral von DU15, im Trapezius",0.5-1 cun,214.5,429; 643.5; 858; 1072.5,regular,Zerstreut Wind; Öffnet Sinne; Entspannt Sehnen,Nackensteifigkeit; Kopfschmerzen; Schulterschmerzen,,vishuddha
BL11,Dazhu,Great Shuttle,Großes Weberschiffchen,BL,water,1.5 cun lateral des Dornfortsatzes T1,0.5-0.8 cun schräg,217,434; 651; 868; 1085,hui_meeting,Stärkt Knochen; Zerstreut Wind,Nacken- und Rückenschmerzen; Husten; Fieber,,
BL12,Fengmen,Wind Gate,Windtor,BL,water,1.5 cun lateral des Dornfortsatzes T2,0.5-0.8 cun schräg,219.5,439; 658.5; 878; 1097.5,regular,Zerstreut Wind; Öffnet Oberfläche; Reguliert Lungen-Qi,Erkältung; Husten; Nackensteifigkeit; Rückenschmerzen,,
BL13,Feishu,Lung Shu,Lungen-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T3,0.5-0.8 cun schräg,222,444; 666; 888; 1110,shu_back,Tonisiert Lungen-Qi; Nährt Lungen-Yin; Klärt Hitze,Husten; Asthma; Tuberkulose; Nachtschweiß,,anahata
BL14,Jueyinshu,Pericardium Shu,Perikard-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T4,0.5-0.8 cun schräg,224.5,449; 673.5; 898; 1122.5,shu_back,Reguliert Herz-Qi; Beruhigt Geist,Herzschmerzen; Herzklopfen; Husten,,
BL15,Xinshu,Heart Shu,Herz-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T5,0.5-0.8 cun schräg,227,454; 681; 908; 1135,shu_back,Tonisiert Herz; Beruhigt Geist; Nährt Blut,Herzschmerzen; Schlaflosigkeit; Angst; Gedächtnisprobleme,,anahata
BL16,Dushu,Governing Vessel Shu,Du Mai-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T6,0.5-0.8 cun schräg,229.5,459; 688.5; 918; 1147.5,shu_back,Reguliert Herz-Qi; Lindert Brustschmerzen,Herzschmerzen; Bauchschmerzen; Fieber,,
BL17,Geshu,Diaphragm Shu,Zwerchfell-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T7,0.5-0.8 cun schräg,232,464; 696; 928; 1160,shu_back; hui_meeting,Nährt und belebt Blut; Kühlt Blut-Hitze; Harmonisiert Zwerchfell,Anämie; Blutungen; Schluckauf; Erbrechen,,manipura
BL18,Ganshu,Liver Shu,Leber-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T9,0.5-0.8 cun schräg,237,474; 711; 948; 1185,shu_back,Reguliert Leber-Qi; Erhellt Augen; Löst Stagnation,Hepatitis; Augenkrankheiten; Rippenschmerzen; Depression,,
BL19,Danshu,Gallbladder Shu,Gallenblasen-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T10,0.5-0.8 cun schräg,239.5,479; 718.5; 958; 1197.5,shu_back,Reguliert Gallenblasen-Qi; Klärt Feuchtigkeit-Hitze,Gallenblasenentzündung; Bitterer Mundgeschmack; Rippenschmerzen,,
BL20,Pishu,Spleen Shu,Milz-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T11,0.5-0.8 cun schräg,242,484; 726; 968; 1210,shu_back,Stärkt Milz; Transformiert Feuchtigkeit; Nährt Blut,Verdauungsprobleme; Erschöpfung; Ödeme; Anämie,,manipura
BL21,Weishu,Stomach Shu,Magen-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes T12,0.5-0.8 cun schräg,244.5,489; 733.5; 978; 1222.5,shu_back,Harmonisiert Magen; Reguliert Qi; Löst Stagnation,Magenschmerzen; Übelkeit; Erbrechen; Appetitlosigkeit,,
BL22,Sanjiaoshu,Triple Burner Shu,Dreifacher Erwärmer-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes L1,0.5-1 cun,247,494; 741; 988; 1235,shu_back,Reguliert Wasserwege; Transformiert Feuchtigkeit,Ödeme; Harnprobleme; Verdauungsprobleme,,
BL23,Shenshu,Kidney Shu,Nieren-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes L2,0.5-1 cun,249.5,499; 748.5; 998; 1247.5,shu_back,Tonisiert Nieren; Stärkt Rücken; Nährt Essenz,Lendenschmerzen; Impotenz; Tinnitus; Erschöpfung,,svadhisthana
BL24,Qihaishu,Sea of Qi Shu,Qi-Meer-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes L3,0.5-1 cun,252,504; 756; 1008; 1260,shu_back,Stärkt Lendenbereich; Reguliert Qi,Lendenschmerzen; Hämorrhoiden; Dysmenorrhoe,,
BL25,Dachangshu,Large Intestine Shu,Dickdarm-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes L4,0.8-1.2 cun,254.5,509; 763.5; 1018; 1272.5,shu_back,Reguliert Dickdarm; Stärkt Rücken,Lendenschmerzen; Durchfall; Verstopfung; Darmentzündung,,
BL26,Guanyuanshu,Origin Pass Shu,Ursprungstor-Transportpunkt,BL,water,1.5 cun lateral des Dornfortsatzes L5,0.8-1.2 cun,257,514; 771; 1028; 1285,shu_back,Stärkt Lendenbereich; Reguliert untere Körperöffnungen,Lendenschmerzen; Durchfall; Harnprobleme,,
BL27,Xiaochangshu,Small Intestine Shu,Dünndarm-Transportpunkt,BL,water,1.5 cun lateral des 1. Sakralforamens,0.8-1.2 cun,259.5,519; 778.5; 1038; 1297.5,shu_back,Reguliert Dünndarm; Trennt klares und trübes,Unterbauchschmerzen; Harnprobleme; Lendenschmerzen,,
BL28,Pangguangshu,Bladder Shu,Blasen-Transportpunkt,BL,water,1.5 cun lateral des 2. Sakralforamens,0.8-1.2 cun,262,524; 786; 1048; 1310,shu_back,Reguliert Blase; Öffnet Wasserwege,Harnprobleme; Lendenschmerzen; Ischias,,
BL29,Zhonglüshu,Middle Backbone Shu,Mittlerer Wirbelsäulen-Transportpunkt,BL,water,1.5 cun lateral des 3. Sakralforamens,0.8-1.2 cun,264.5,529; 793.5; 1058; 1322.5,shu_back,Stärkt Lendenbereich,Lendenschmerzen; Durchfall; Hernie,,
BL30,Baihuanshu,White Ring Shu,Weißer Ring-Transportpunkt,BL,water,1.5 cun lateral des 4. Sakralforamens,0.8-1.5 cun,267,534; 801; 1068; 1335,shu_back,Reguliert untere Körperöffnungen; Stärkt Lendenbereich,Lendenschmerzen; Hernie; Leukorr; Hämorrhoiden,,
BL31,Shangliao,Upper Bone Hole,Obere Knochenvertiefung,BL,water,Im 1. dorsalen Sakralforamen,0.8-1.2 cun,269.5,539; 808.5; 1078; 1347.5,regular,Reguliert untere Körperöffnungen; Stärkt Lendenbereich,Lendenschmerzen; Menstruationsstörungen; Harnprobleme,,
BL32,Ciliao,Second Bone Hole,Zweite Knochenvertiefung,BL,water,Im 2. dorsalen Sakralforamen,0.8-1.2 cun,272,544; 816; 1088; 1360,regular,Reguliert Menstruation; Stärkt Lendenbereich,Lendenschmerzen; Dysmenorrhoe; Leukorr; Impotenz,,
BL33,Zhongliao,Middle Bone Hole,Mittlere Knochenvertiefung,BL,water,Im 3. dorsalen Sakralforamen,0.8-1.2 cun,274.5,549; 823.5; 1098; 1372.5,regular,Reguliert untere Körperöffnungen,Lendenschmerzen; Verstopfung; Harnprobleme,,
BL34,Xialiao,Lower Bone Hole,Untere Knochenvertiefung,BL,water,Im 4. dorsalen Sakralforamen,0.8-1.2 cun,277,554; 831; 1108; 1385,regular,Reguliert untere Körperöffnungen,Lendenschmerzen; Bauchschmerzen; Verstopfung,,
BL35,Huiyang,Meeting of Yang,Treffen des Yang,BL,water,0.5 cun lateral des Steißbeins,0.5-1 cun,279.5,559; 838.5; 1118; 1397.5,regular,Reguliert untere Körperöffnungen,Hämorrhoiden; Impotenz; Leukorr; Durchfall,,
BL36,Chengfu,Support,Unterstützung,BL,water,In der Mitte der Glutealfalte,1-2 cun,282,564; 846; 1128; 1410,regular,Aktiviert Kanal; Lindert Schmerzen,Ischias; Hämorrhoiden; Gesäßschmerzen,,
BL37,Yinmen,Gate of Abundance,Tor des Überflusses,BL,water,"6 cun unter BL36, auf der Linie BL36-BL40",1-2 cun,284.5,569; 853.5; 1138; 1422.5,regular,Entspannt Sehnen; Aktiviert Kanal,Lendenschmerzen; Oberschenkelschmerzen; Beinlähmung,,
BL38,Fuxi,Superficial Cleft,Oberflächliche Spalte,BL,water,"1 cun über BL39, medial der Bizepssehne",0.5-1 cun,287,574; 861; 1148; 1435,regular,Entspannt Sehnen; Aktiviert Kanal,Knieschmerzen; Taubheit des Beins,,
BL39,Weiyang,Bend Yang,Yang-Beugung,BL,water,"Lateral in der Kniekehle, medial der Bizepssehne",0.5-1 cun,289.5,579; 868.5; 1158; 1447.5,he_sea,Öffnet Wasserwege; Entspannt Sehnen,Harnprobleme; Beinkrämpfe; Rückenschmerzen,,
BL40,Weizhong,Bend Middle,Mitte der Beuge,BL,water,"In der Mitte der Kniekehle, zwischen den Sehnen",1-1.5 cun oder Blutenlassen,292,584; 876; 1168; 1460,he_sea,Entspannt Sehnen; Aktiviert Kanal; Kühlt Blut,Lendenschmerzen; Knieschmerzen; Beinlähmung; Hauterkrankungen,,muladhara
BL41,Fufen,Attached Branch,Angehängter Zweig,BL,water,3 cun lateral des Dornfortsatzes T2,0.5-0.8 cun schräg,294.5,589; 883.5; 1178; 1472.5,regular,Zerstreut Wind; Aktiviert Kanal,Nackensteifigkeit; Schulterschmerzen; Taubheit des Arms,,
BL42,Pohu,Door of the Corporeal Soul,Tor der Körperseele,BL,water,3 cun lateral des Dornfortsatzes T3,0.5-0.8 cun schräg,297,594; 891; 1188; 1485,regular,Reguliert Lungen-Qi; Stärkt Abwehr,Husten; Asthma; Nackensteifigkeit; Schulterschmerzen,,
BL43,Gaohuang,Vital Region Shu,Vitale Region-Transportpunkt,BL,water,3 cun lateral des Dornfortsatzes T4,0.5-0.8 cun schräg,299.5,599; 898.5; 1198; 1497.5,regular,Tonisiert Lunge und Nieren; Stärkt das Ursprüngliche,Chronische Erschöpfung; Tuberkulose; Gedächtnisprobleme; Nachtschweiß,,anahata
BL44,Shentang,Spirit Hall,Geisteshalle,BL,water,3 cun lateral des Dornfortsatzes T5,0.5-0.8 cun schräg,302,604; 906; 1208; 1510,regular,Beruhigt Geist; Reguliert Herz,Herzschmerzen; Husten; Rückenschmerzen,,
BL45,Yixi,Yi Xi,Seufzer,BL,water,3 cun lateral des Dornfortsatzes T6,0.5-0.8 cun schräg,304.5,609; 913.5; 1218; 1522.5,regular,Reguliert Qi; Lindert Husten,Husten; Asthma; Rückenschmerzen; Fieber,,
BL46,Geguan,Diaphragm Gate,Zwerchfelltor,BL,water,3 cun lateral des Dornfortsatzes T7,0.5-0.8 cun schräg,307,614; 921; 1228; 1535,regular,Harmonisiert Zwerchfell; Lindert Erbrechen,Schluckauf; Erbrechen; Rückenschmerzen,,
BL47,Hunmen,Soul Gate,Seelentor,BL,water,3 cun lateral des Dornfortsatzes T9,0.5-0.8 cun schräg,312,624; 936; 1248; 1560,regular,Reguliert Leber; Beruhigt Geist,Rippenschmerzen; Rückenschmerzen; Durchfall; Erbrechen,,
BL48,Yanggang,Yang Headrope,Yang-Hauptseil,BL,water,3 cun lateral des Dornfortsatzes T10,0.5-0.8 cun schräg,314.5,629; 943.5; 1258; 1572.5,regular,Reguliert Gallenblase; Klärt Feuchtigkeit-Hitze,Gallenblasenentzündung; Rippenschmerzen; Bitterer Mundgeschmack,,
BL49,Yishe,Reflection Abode,Reflexionswohnung,BL,water,3 cun lateral des Dornfortsatzes T11,0.5-0.8 cun schräg,317,634; 951; 1268; 1585,regular,Stärkt Milz; Reguliert Verdauung,Bauchschmerzen; Durchfall; Erbrechen; Rückenschmerzen,,
BL50,Weicang,Stomach Granary,Magenspeicher,BL,water,3 cun lateral des Dornfortsatzes T12,0.5-0.8 cun schräg,319.5,639; 958.5; 1278; 1597.5,regular,Harmonisiert Magen; Reguliert Verdauung,Magenschmerzen; Bauchschmerzen; Rückenschmerzen,,
BL51,Huangmen,Vitals Gate,Vitaltor,BL,water,3 cun lateral des Dornfortsatzes L1,0.5-1 cun,322,644; 966; 1288; 1610,regular,Reguliert Qi; Löst Stagnation,Bauchschmerzen; Verstopfung; Brustmasse,,
BL52,Zhishi,Will Chamber,Willenskammer,BL,water,3 cun lateral des Dornfortsatzes L2,0.5-1 cun,324.5,649; 973.5; 1298; 1622.5,regular,Tonisiert Nieren; Stärkt Willenskraft,Lendenschmerzen; Impotenz; Harnprobleme; Ödeme,,svadhisthana
BL53,Baohuang,Bladder Vitals,Blasenvitalität,BL,water,3 cun lateral des 2. Sakralforamens,1-1.5 cun,327,654; 981; 1308; 1635,regular,Reguliert Blase; Stärkt Lendenbereich,Lendenschmerzen; Bauchschmerzen; Harnprobleme,,
BL54,Zhibian,Sequential Limit,Sequenzielle Grenze,BL,water,"3 cun lateral des 4. Sakralforamens, auf Höhe von BL30",1.5-2 cun,329.5,659; 988.5; 1318; 1647.5,regular,Aktiviert Kanal; Lindert Schmerzen,Ischias; Hämorrhoiden; Beinlähmung; Harnprobleme,,
BL55,Heyang,Yang Union,Yang-Vereinigung,BL,water,"2 cun unter BL40, zwischen den Köpfen des Gastrocnemius",1-2 cun,332,664; 996; 1328; 1660,regular,Entspannt Sehnen; Aktiviert Kanal,Lendenschmerzen; Wadenkrämpfe; Uterusblutung,,
BL56,Chengjin,Sinew Support,Sehnenstütze,BL,water,"5 cun unter BL40, zwischen den Köpfen des Gastrocnemius",1-1.5 cun,334.5,669; 1003.5; 1338; 1672.5,regular,Entspannt Sehnen; Lindert Krämpfe,Wadenkrämpfe; Lendenschmerzen; Hämorrhoiden,,
BL57,Chengshan,Mountain Support,Bergstütze,BL,water,"In der Mitte der Wade, am unteren Ende des Gastrocnemius-Muskelbauchs",1-2 cun,337,674; 1011; 1348; 1685,regular,Entspannt Sehnen; Aktiviert Kanal; Lindert Hämorrhoiden,Wadenkrämpfe; Hämorrhoiden; Lendenschmerzen; Verstopfung,,
